Classifier,Latitude,Longitude,Z_value
5,31.70775359,253.6592331,135.4666667
5,31.73526535,253.6318914,132.1626016
5,31.7167005,253.6503415,208.1560976
5,31.59412778,253.7721565,201.5479675
5,31.62029751,253.7461485,442.7447155
5,31.74756735,253.6196655,3.30406504
5,31.59658819,253.7697113,449.3528457
5,31.64736192,253.7192514,406.3999999
5,31.64311214,253.723475,66.08130081
5,31.54581445,253.8201712,125.5544715
5,31.60933754,253.7570408,128.8585366
5,31.7446596,253.6225552,23.12845529
5,31.62320525,253.7432588,251.1089431
5,31.56482664,253.8012765,350.2308945
5,31.60441673,253.7619311,472.4813007
5,31.60218001,253.764154,89.20975609
5,31.58383883,253.7823818,393.1837399
5,31.54670914,253.819282,128.8585366
5,31.61828445,253.7481492,515.4341465
5,31.70126707,253.6656795,79.29756097
5,31.61850812,253.7479269,19.82439024
5,31.71871356,253.6483409,13.21626016
5,31.58361516,253.7826041,512.1300812
5,31.66055862,253.7061363,188.3317073
5,31.67979448,253.6870194,36.34471544
5,31.7265421,253.6405607,145.3788618
5,31.66369004,253.7030243,52.86504065
5,31.61179794,253.7545956,9.912195121
5,31.61425834,253.7521504,399.7918701
5,31.63707297,253.7294768,290.7577236
5,31.5404463,253.8255061,112.3382114
5,31.5849572,253.7812704,518.7382114
5,31.5610242,253.8050554,112.3382114
5,31.56169522,253.8043886,132.1626016
5,31.69164914,253.675238,175.1154472
5,31.58518087,253.7810481,403.095935
5,31.63282319,253.7337003,95.81788617
5,31.63461257,253.731922,135.4666667
5,31.59435146,253.7719342,290.7577236
5,31.57511559,253.7910511,175.1154472
5,31.5947988,253.7714896,161.899187
5,31.64333581,253.7232527,303.9739837
5,31.7323576,253.6347812,102.4260162
5,31.6442305,253.7223635,181.7235772
5,31.58764127,253.7786029,23.12845529
5,31.72698945,253.6401162,145.3788618
5,31.57220785,253.7939409,465.8731709
5,31.62566565,253.7408136,231.2845529
5,31.61806078,253.7483714,333.7105693
5,31.59703553,253.7692667,99.12195121
5,31.66749248,253.6992453,33.0406504
5,31.55587973,253.8101681,264.3252033
